Date,Gibe-III,Koysha
2029-01-01,177480368.0,0.0
2029-01-02,177461141.0,330733.0
2029-01-03,177441914.0,660848.0
2029-01-04,177422676.0,990346.0
2029-01-05,177403442.0,1221311.0
2029-01-06,177384207.0,1419868.0
2029-01-07,177364964.0,1618145.0
2029-01-08,177345721.0,1801255.0
2029-01-09,177326478.0,1968590.0
2029-01-10,177307234.0,2135766.0
2029-01-11,177287988.0,2299081.0
2029-01-12,177268729.0,2448792.0
2029-01-13,177249474.0,2598361.0
2029-01-14,177230223.0,2747860.0
2029-01-15,177210964.0,2886442.0
2029-01-16,177191704.0,3024112.0
2029-01-17,177172440.0,3161716.0
2029-01-18,177153180.0,3293722.0
2029-01-19,177133914.0,3422564.0
2029-01-20,177114639.0,3551314.0
2029-01-21,177095363.0,3677701.0
2029-01-22,177076087.0,3799592.0
2029-01-23,177056812.0,3921425.0
2029-01-24,177037536.0,4042966.0
2029-01-25,177018251.0,4159198.0
2029-01-26,176998964.0,4275347.0
2029-01-27,176979680.0,4391412.0
2029-01-28,176960388.0,4504168.0
2029-01-29,176941096.0,4615561.0
2029-01-30,176921800.0,4726874.0
2029-01-31,176902504.0,4836603.0
2029-02-01,176883212.0,4943912.0
2029-02-02,176857395.0,5039164.0
2029-02-03,176831566.0,5134364.0
2029-02-04,176805737.0,5227056.0
2029-02-05,176779912.0,5319144.0
2029-02-06,176754079.0,5411183.0
2029-02-07,176728245.0,5502998.0
2029-02-08,176702410.0,5592312.0
2029-02-09,176676567.0,5681553.0
2029-02-10,176650724.0,5770746.0
2029-02-11,176624880.0,5859188.0
2029-02-12,176599037.0,5945949.0
2029-02-13,176573185.0,6032664.0
2029-02-14,176547327.0,6119331.0
2029-02-15,176521469.0,6204845.0
2029-02-16,176495607.0,6289322.0
2029-02-17,176469750.0,6373754.0
2029-02-18,176443887.0,6458140.0
2029-02-19,176418021.0,6541063.0
2029-02-20,176392145.0,6623461.0
2029-02-21,176366273.0,6705813.0
2029-02-22,176340401.0,6788121.0
2029-02-23,176314520.0,6868729.0
2029-02-24,176288648.0,6949220.0
2029-02-25,176262758.0,7029666.0
2029-02-26,176236868.0,7109814.0
2029-02-27,176210981.0,7188589.0
2029-02-28,176185090.0,7267322.0
2029-03-01,176159200.0,7346032.0
2029-03-02,176110357.0,7409068.0
2029-03-03,176061521.0,7471100.0
2029-03-04,176012689.0,7533070.0
2029-03-05,175963850.0,7594976.0
2029-03-06,175915012.0,7656839.0
2029-03-07,175866175.0,7718148.0
2029-03-08,175817334.0,7778802.0
2029-03-09,175768492.0,7839415.0
2029-03-10,175719658.0,7899965.0
2029-03-11,175670820.0,7960453.0
2029-03-12,175621976.0,8020210.0
2029-03-13,175573142.0,8079590.0
2029-03-14,175524302.0,8138930.0
2029-03-15,175475458.0,8198208.0
2029-03-16,175426622.0,8257446.0
2029-03-17,175377781.0,8315781.0
2029-03-18,175328940.0,8373962.0
2029-03-19,175280108.0,8432104.0
