Date,Gibe-III,Koysha
2029-01-01,11750000000.0,0.0
2029-01-02,11748468128.0,1851552.0
2029-01-03,11746936256.0,3699648.0
2029-01-04,11745404384.0,5544288.0
2029-01-05,11743872944.0,7385904.0
2029-01-06,11742341504.0,9225792.0
2029-01-07,11740809632.0,11063088.0
2029-01-08,11739277760.0,12898656.0
2029-01-09,11737745888.0,14732496.0
2029-01-10,11736214016.0,16564608.0
2029-01-11,11734683008.0,18394992.0
2029-01-12,11733152000.0,20223648.0
2029-01-13,11731620992.0,22050576.0
2029-01-14,11730089984.0,23876640.0
2029-01-15,11728558976.0,25700976.0
2029-01-16,11727028832.0,27523584.0
2029-01-17,11725498688.0,29345328.0
2029-01-18,11723968544.0,31165344.0
2029-01-19,11722438400.0,32984064.0
2029-01-20,11720908256.0,34801488.0
2029-01-21,11719378544.0,36617616.0
2029-01-22,11717848832.0,38432448.0
2029-01-23,11716318688.0,40246416.0
2029-01-24,11714788544.0,42058656.0
2029-01-25,11713258400.0,43870032.0
2029-01-26,11711728256.0,45680112.0
2029-01-27,11710198976.0,47488896.0
2029-01-28,11708669696.0,49296816.0
2029-01-29,11707140416.0,51103440.0
2029-01-30,11705611136.0,52908768.0
2029-01-31,11704081856.0,54713232.0
2029-02-01,11702553008.0,56516400.0
2029-02-02,11700465152.0,58116960.0
2029-02-03,11698377728.0,59716656.0
2029-02-04,11696290304.0,61315488.0
2029-02-05,11694202880.0,62913024.0
2029-02-06,11692115888.0,64509696.0
2029-02-07,11690028464.0,66105504.0
2029-02-08,11687941040.0,67700448.0
2029-02-09,11685853616.0,69294096.0
2029-02-10,11683767056.0,70886880.0
2029-02-11,11681680496.0,72478800.0
2029-02-12,11679593936.0,74069856.0
2029-02-13,11677507376.0,75660048.0
2029-02-14,11675421680.0,77249376.0
2029-02-15,11673335984.0,78837840.0
2029-02-16,11671250288.0,80425440.0
2029-02-17,11669164592.0,82012176.0
2029-02-18,11667079760.0,83598048.0
2029-02-19,11664994496.0,85183056.0
2029-02-20,11662908800.0,86767200.0
2029-02-21,11660823536.0,88350480.0
2029-02-22,11658738704.0,89932896.0
2029-02-23,11656653872.0,91514448.0
2029-02-24,11654569040.0,93095136.0
2029-02-25,11652484640.0,94674960.0
2029-02-26,11650400672.0,96253920.0
2029-02-27,11648316704.0,97832016.0
2029-02-28,11646232736.0,99409248.0
2029-03-01,11644149200.0,100986048.0
2029-03-02,11639918624.0,102253536.0
2029-03-03,11635688912.0,103519728.0
2029-03-04,11631460064.0,104784624.0
2029-03-05,11627232080.0,106048224.0
2029-03-06,11623004528.0,107310960.0
2029-03-07,11618777408.0,108572400.0
2029-03-08,11614551152.0,109832544.0
2029-03-09,11610325760.0,111091824.0
2029-03-10,11606101232.0,112349808.0
2029-03-11,11601877568.0,113606496.0
2029-03-12,11597654336.0,114862320.0
2029-03-13,11593431968.0,116116848.0
2029-03-14,11589210464.0,117370512.0
2029-03-15,11584989824.0,118622880.0
2029-03-16,11580770048.0,119874384.0
2029-03-17,11576551136.0,121124592.0
2029-03-18,11572332656.0,122373504.0
2029-03-19,11568114608.0,123621552.0
2029-03-20,11563897424.0,124868304.0
2029-03-21,11559681104.0,126114192.0
2029-03-22,11555465648.0,127358784.0
2029-03-23,11551251056.0,128602512.0
2029-03-24,11547036896.0,129844944.0
2029-03-25,11542823600.0,131086512.0
2029-03-26,11538611168.0,132326784.0
2029-03-27,11534399600.0,133566192.0
2029-03-28,11530188896.0,134804304.0
2029-03-29,11525979056.0,136041552.0
2029-03-30,11521769648.0,137277504.0
2029-03-31,11517560672.0,138512592.0
2029-04-01,11513352560.0,139746816.0
2029-04-02,11508541376.0,141492960.0
2029-04-03,11503731920.0,143236944.0
2029-04-04,11498924192.0,144978336.0
2029-04-05,11494117760.0,146717136.0
2029-04-06,11489312624.0,148453776.0
2029-04-07,11484508352.0,150188256.0
2029-04-08,11479705808.0,151920144.0
2029-04-09,11474904992.0,153649440.0
2029-04-10,11470105904.0,155376576.0
2029-04-11,11465308544.0,157101552.0
2029-04-12,11460511184.0,158823936.0
2029-04-13,11455715552.0,160544160.0
2029-04-14,11450921648.0,162262224.0
2029-04-15,11446129472.0,163977696.0
2029-04-16,11441339024.0,165691008.0
2029-04-17,11436549440.0,167402160.0
2029-04-18,11431761152.0,169111152.0
2029-04-19,11426974160.0,170817984.0
2029-04-20,11422188896.0,172522224.0
2029-04-21,11417404928.0,174224304.0
2029-04-22,11412622256.0,175924224.0
2029-04-23,11407841312.0,177621984.0
2029-04-24,11403062096.0,179317584.0
2029-04-25,11398283744.0,181011024.0
2029-04-26,11393506688.0,182702304.0
2029-04-27,11388730928.0,184391424.0
2029-04-28,11383956896.0,186078384.0
2029-04-29,11379184592.0,187763184.0
2029-04-30,11374414016.0,189445824.0
2029-05-01,11369643872.0,191126304.0
2029-05-02,11366783168.0,193781376.0
2029-05-03,11363923328.0,196432992.0
2029-05-04,11361064352.0,199081152.0
2029-05-05,11358205808.0,201725856.0
2029-05-06,11355348128.0,204366240.0
2029-05-07,11352491312.0,207003168.0
2029-05-08,11349634928.0,209636640.0
2029-05-09,11346779408.0,212266656.0
2029-05-10,11343924752.0,214893216.0
2029-05-11,11341070960.0,217516320.0
2029-05-12,11338217600.0,220135968.0
