Date,Canals to Kuraz Sugar Plantations,Flow A,Flow B,Flow C,Gibe-III Evaporation,Gibe-III Release,Koysha Evaporation,Koysha Release,Main Channel,Outflow to Lake Turkana
2029-01-01,29.66,53.61,21.44,15.01,20.76,54.46,0.01,54.46,24.8,39.81
2029-01-02,29.66,53.61,21.44,15.01,20.76,54.46,0.05,54.46,24.8,39.81
2029-01-03,29.665,53.61,21.44,15.01,20.76,54.465,0.09,54.465,24.8,39.81
2029-01-04,29.67,53.61,21.44,15.01,20.75,54.47,0.125,54.47,24.8,39.81
2029-01-05,29.67,53.61,21.44,15.01,20.75,54.47,0.14500000000000002,54.47,24.8,39.81
2029-01-06,29.68,53.61,21.44,15.01,20.75,54.48,0.175,54.48,24.8,39.81
2029-01-07,29.68,53.61,21.44,15.01,20.75,54.48,0.195,54.48,24.8,39.81
2029-01-08,29.685000000000002,53.61,21.44,15.01,20.744999999999997,54.485,0.215,54.485,24.8,39.81
2029-01-09,29.69,53.61,21.44,15.01,20.74,54.49,0.235,54.49,24.8,39.81
2029-01-10,29.69,53.61,21.44,15.01,20.74,54.49,0.255,54.49,24.8,39.81
2029-01-11,29.7,53.61,21.44,15.01,20.74,54.5,0.275,54.5,24.8,39.81
2029-01-12,29.7,53.61,21.44,15.01,20.735,54.5,0.295,54.5,24.8,39.81
2029-01-13,29.705,53.61,21.44,15.01,20.73,54.5,0.305,54.5,24.795,39.805
2029-01-14,29.71,53.61,21.44,15.01,20.73,54.51,0.325,54.51,24.8,39.81
2029-01-15,29.71,53.61,21.44,15.01,20.73,54.51,0.345,54.51,24.8,39.81
2029-01-16,29.72,53.61,21.44,15.01,20.73,54.515,0.355,54.515,24.795,39.805
2029-01-17,29.72,53.61,21.44,15.01,20.72,54.52,0.375,54.52,24.8,39.81
2029-01-18,29.73,53.61,21.44,15.01,20.72,54.52,0.39,54.52,24.79,39.8
2029-01-19,29.73,53.61,21.44,15.01,20.72,54.53,0.405,54.53,24.8,39.81
2029-01-20,29.74,53.61,21.44,15.01,20.72,54.53,0.42,54.53,24.79,39.8
2029-01-21,29.74,53.61,21.44,15.01,20.715,54.535,0.435,54.535,24.795,39.805
2029-01-22,29.744999999999997,53.61,21.44,15.01,20.71,54.54,0.445,54.54,24.795,39.805
2029-01-23,29.75,53.61,21.44,15.01,20.71,54.54,0.46499999999999997,54.54,24.79,39.8
2029-01-24,29.755000000000003,53.61,21.44,15.01,20.71,54.55,0.475,54.55,24.795,39.805
2029-01-25,29.76,53.61,21.44,15.01,20.71,54.55,0.49,54.55,24.79,39.8
2029-01-26,29.76,53.61,21.44,15.01,20.7,54.55,0.505,54.55,24.79,39.8
2029-01-27,29.77,53.61,21.44,15.01,20.7,54.56,0.515,54.56,24.79,39.8
2029-01-28,29.77,53.61,21.44,15.01,20.7,54.56,0.53,54.56,24.79,39.8
2029-01-29,29.775,53.61,21.44,15.01,20.7,54.565,0.545,54.565,24.79,39.8
2029-01-30,29.78,53.61,21.44,15.01,20.695,54.57,0.555,54.57,24.79,39.8
2029-01-31,29.78,53.61,21.44,15.01,20.69,54.57,0.57,54.57,24.79,39.8
2029-02-01,30.91,47.81,19.12,13.39,21.18,55.6,0.595,55.6,24.69,38.08
2029-02-02,30.92,47.81,19.12,13.39,21.18,55.605000000000004,0.605,55.605000000000004,24.685000000000002,38.075
2029-02-03,30.92,47.81,19.12,13.39,21.175,55.61,0.615,55.61,24.69,38.08
2029-02-04,30.93,47.81,19.12,13.39,21.17,55.61,0.63,55.61,24.68,38.07
2029-02-05,30.93,47.81,19.12,13.39,21.17,55.62,0.64,55.62,24.69,38.08
2029-02-06,30.94,47.81,19.12,13.39,21.17,55.62,0.65,55.62,24.68,38.07
2029-02-07,30.94,47.81,19.12,13.39,21.16,55.625,0.66,55.625,24.685000000000002,38.075
2029-02-08,30.95,47.81,19.12,13.39,21.16,55.63,0.675,55.63,24.68,38.07
2029-02-09,30.95,47.81,19.12,13.39,21.16,55.63,0.685,55.63,24.68,38.07
2029-02-10,30.96,47.81,19.12,13.39,21.15,55.64,0.695,55.64,24.68,38.07
2029-02-11,30.96,47.81,19.12,13.39,21.15,55.64,0.705,55.64,24.68,38.07
2029-02-12,30.97,47.81,19.12,13.39,21.15,55.65,0.715,55.65,24.68,38.07
2029-02-13,30.97,47.81,19.12,13.39,21.145,55.65,0.725,55.65,24.68,38.07
2029-02-14,30.975,47.81,19.12,13.39,21.14,55.655,0.735,55.655,24.68,38.07
2029-02-15,30.98,47.81,19.12,13.39,21.14,55.66,0.745,55.66,24.68,38.07
2029-02-16,30.98,47.81,19.12,13.39,21.134999999999998,55.66,0.755,55.66,24.68,38.07
2029-02-17,30.99,47.81,19.12,13.39,21.13,55.67,0.765,55.67,24.68,38.07
2029-02-18,30.99,47.81,19.12,13.39,21.13,55.67,0.775,55.67,24.68,38.07
2029-02-19,30.994999999999997,47.81,19.12,13.39,21.13,55.675,0.785,55.675,24.68,38.07
2029-02-20,31.0,47.81,19.12,13.39,21.12,55.68,0.795,55.68,24.68,38.07
2029-02-21,31.005000000000003,47.81,19.12,13.39,21.12,55.68,0.805,55.68,24.675,38.065
2029-02-22,31.01,47.81,19.12,13.39,21.12,55.69,0.815,55.69,24.68,38.07
2029-02-23,31.015,47.81,19.12,13.39,21.11,55.69,0.825,55.69,24.675,38.065
2029-02-24,31.02,47.81,19.12,13.39,21.11,55.7,0.835,55.7,24.68,38.07
2029-02-25,31.025,47.81,19.12,13.39,21.11,55.7,0.845,55.7,24.675,38.065
2029-02-26,31.03,47.81,19.12,13.39,21.1,55.705,0.855,55.705,24.675,38.065
2029-02-27,31.035,47.81,19.12,13.39,21.1,55.71,0.865,55.71,24.675,38.065
2029-02-28,31.04,47.81,19.12,13.39,21.1,55.71,0.87,55.71,24.67,38.06
2029-03-01,32.31,40.7,16.28,11.4,38.555,56.84,1.61,56.84,24.53,35.93
2029-03-02,32.31,40.7,16.28,11.4,38.54,56.84,1.625,56.84,24.53,35.93
2029-03-03,32.315,40.7,16.28,11.4,38.53,56.845,1.64,56.845,24.53,35.93
2029-03-04,32.32,40.7,16.28,11.4,38.52,56.85,1.6549999999999998,56.85,24.53,35.93
2029-03-05,32.32,40.7,16.28,11.4,38.51,56.85,1.665,56.85,24.53,35.93
2029-03-06,32.33,40.7,16.28,11.4,38.5,56.86,1.68,56.86,24.53,35.93
2029-03-07,32.33,40.7,16.28,11.4,38.49,56.86,1.6949999999999998,56.86,24.53,35.93
2029-03-08,32.335,40.7,16.28,11.4,38.48,56.864999999999995,1.705,56.864999999999995,24.53,35.93
2029-03-09,32.34,40.7,16.28,11.4,38.465,56.87,1.72,56.87,24.53,35.93
2029-03-10,32.34,40.7,16.28,11.4,38.455,56.87,1.7349999999999999,56.87,24.53,35.93
2029-03-11,32.35,40.7,16.28,11.4,38.445,56.88,1.745,56.88,24.53,35.93
2029-03-12,32.35,40.7,16.28,11.4,38.435,56.88,1.76,56.88,24.53,35.93
2029-03-13,32.36,40.7,16.28,11.4,38.425,56.88,1.77,56.88,24.52,35.92
2029-03-14,32.36,40.7,16.28,11.4,38.415,56.89,1.7850000000000001,56.89,24.53,35.93
2029-03-15,32.37,40.7,16.28,11.4,38.405,56.89,1.795,56.89,24.52,35.92
2029-03-16,32.37,40.7,16.28,11.4,38.39,56.894999999999996,1.81,56.894999999999996,24.525,35.925
2029-03-17,32.38,40.7,16.28,11.4,38.38,56.9,1.8250000000000002,56.9,24.52,35.92
2029-03-18,32.38,40.7,16.28,11.4,38.37,56.9,1.835,56.9,24.52,35.92
2029-03-19,32.39,40.7,16.28,11.4,38.36,56.91,1.85,56.91,24.52,35.92
2029-03-20,32.39,40.7,16.28,11.4,38.35,56.91,1.86,56.91,24.52,35.92
2029-03-21,32.394999999999996,40.7,16.28,11.4,38.34,56.915,1.875,56.915,24.52,35.92
2029-03-22,32.4,40.7,16.28,11.4,38.33,56.92,1.8849999999999998,56.92,24.52,35.92
2029-03-23,32.4,40.7,16.28,11.4,38.315,56.92,1.9,56.92,24.52,35.92
2029-03-24,32.41,40.7,16.28,11.4,38.305,56.93,1.91,56.93,24.52,35.92
2029-03-25,32.41,40.7,16.28,11.4,38.295,56.93,1.9249999999999998,56.93,24.52,35.92
2029-03-26,32.415,40.7,16.28,11.4,38.285,56.935,1.935,56.935,24.52,35.92
2029-03-27,32.42,40.7,16.28,11.4,38.275000000000006,56.94,1.95,56.94,24.52,35.92
2029-03-28,32.42,40.7,16.28,11.4,38.265,56.94,1.96,56.94,24.52,35.92
2029-03-29,32.425,40.7,16.28,11.4,38.254999999999995,56.945,1.975,56.945,24.52,35.92
2029-03-30,32.43,40.7,16.28,11.4,38.245000000000005,56.95,1.9849999999999999,56.95,24.52,35.92
2029-03-31,32.435,40.7,16.28,11.4,38.23,56.95,1.995,56.95,24.515,35.915
2029-04-01,33.79,58.8,23.52,16.46,62.894999999999996,58.13,3.3099999999999996,58.13,24.34,40.8
2029-04-02,33.8,58.8,23.52,16.46,62.875,58.14,3.335,58.14,24.34,40.8
2029-04-03,33.805,58.8,23.52,16.46,62.855000000000004,58.144999999999996,3.365,58.144999999999996,24.34,40.8
2029-04-04,33.815,58.8,23.52,16.46,62.835,58.15,3.395,58.15,24.335,40.795
2029-04-05,33.82,58.8,23.52,16.46,62.815,58.155,3.42,58.155,24.335,40.795
2029-04-06,33.83,58.8,23.52,16.46,62.795,58.16,3.4450000000000003,58.16,24.33,40.79
2029-04-07,33.84,58.8,23.52,16.46,62.775000000000006,58.17,3.475,58.17,24.33,40.79
2029-04-08,33.845,58.8,23.52,16.46,62.754999999999995,58.175,3.505,58.175,24.33,40.79
2029-04-09,33.85,58.8,23.52,16.46,62.735,58.18,3.5300000000000002,58.18,24.33,40.79
2029-04-10,33.86,58.8,23.52,16.46,62.715,58.19,3.5549999999999997,58.19,24.33,40.79
2029-04-11,33.864999999999995,58.8,23.52,16.46,62.695,58.195,3.585,58.195,24.33,40.79
2029-04-12,33.87,58.8,23.52,16.46,62.675,58.2,3.6100000000000003,58.2,24.33,40.79
2029-04-13,33.88,58.8,23.52,16.46,62.655,58.205,3.635,58.205,24.325,40.785
2029-04-14,33.885000000000005,58.8,23.52,16.46,62.635000000000005,58.21,3.665,58.21,24.325,40.785
