Date,Canals to Kuraz Sugar Plantations
2029-01-01,54.46
2029-01-02,54.46
2029-01-03,54.465
2029-01-04,54.47
2029-01-05,54.47
2029-01-06,54.48
2029-01-07,54.48
2029-01-08,54.485
2029-01-09,54.49
2029-01-10,54.49
2029-01-11,54.5
2029-01-12,54.5
2029-01-13,54.504999999999995
2029-01-14,54.5
2029-01-15,54.5
2029-01-16,54.515
2029-01-17,54.51
2029-01-18,54.53
2029-01-19,54.52
2029-01-20,54.54
2029-01-21,54.535
2029-01-22,54.54
2029-01-23,54.55
2029-01-24,54.55
2029-01-25,54.56
2029-01-26,54.56
2029-01-27,54.56
2029-01-28,54.56
2029-01-29,54.565
2029-01-30,54.57
2029-01-31,54.57
2029-02-01,55.59
2029-02-02,55.605000000000004
2029-02-03,55.6
2029-02-04,55.62
2029-02-05,55.61
2029-02-06,55.63
2029-02-07,55.625
2029-02-08,55.64
2029-02-09,55.64
2029-02-10,55.64
2029-02-11,55.64
2029-02-12,55.65
2029-02-13,55.65
2029-02-14,55.655
2029-02-15,55.66
2029-02-16,55.66
2029-02-17,55.67
2029-02-18,55.67
2029-02-19,55.675
2029-02-20,55.68
2029-02-21,55.685
2029-02-22,55.68
2029-02-23,55.69
2029-02-24,55.69
2029-02-25,55.7
2029-02-26,55.705
2029-02-27,55.71
2029-02-28,55.72
2029-03-01,56.84
2029-03-02,56.84
2029-03-03,56.845
2029-03-04,56.85
2029-03-05,56.85
2029-03-06,56.86
2029-03-07,56.86
2029-03-08,56.864999999999995
2029-03-09,56.87
2029-03-10,56.87
2029-03-11,56.87
2029-03-12,56.87
2029-03-13,56.89
2029-03-14,56.88
2029-03-15,56.9
2029-03-16,56.894999999999996
2029-03-17,56.91
2029-03-18,56.91
2029-03-19,56.91
2029-03-20,56.91
2029-03-21,56.915
2029-03-22,56.92
2029-03-23,56.92
2029-03-24,56.93
2029-03-25,56.93
2029-03-26,56.935
2029-03-27,56.94
2029-03-28,56.94
2029-03-29,56.94
2029-03-30,56.94
2029-03-31,56.95
2029-04-01,58.13
2029-04-02,58.14
2029-04-03,58.14
2029-04-04,58.15
2029-04-05,58.155
2029-04-06,58.17
2029-04-07,58.17
2029-04-08,58.175
2029-04-09,58.18
2029-04-10,58.19
2029-04-11,58.195
2029-04-12,58.2
2029-04-13,58.205
2029-04-14,58.21
2029-04-15,58.22
2029-04-16,58.23
2029-04-17,58.23
2029-04-18,58.24
2029-04-19,58.245000000000005
2029-04-20,58.25
2029-04-21,58.254999999999995
2029-04-22,58.26
2029-04-23,58.26
2029-04-24,58.275000000000006
2029-04-25,58.28
2029-04-26,58.285
2029-04-27,58.29
2029-04-28,58.3
2029-04-29,58.305
2029-04-30,58.31
2029-05-01,59.5
2029-05-02,59.510000000000005
2029-05-03,59.53
2029-05-04,59.53
2029-05-05,59.545
2029-05-06,59.55
2029-05-07,59.575
2029-05-08,59.58
2029-05-09,59.59
2029-05-10,59.6
2029-05-11,59.61
2029-05-12,59.63
2029-05-13,59.635000000000005
2029-05-14,59.644999999999996
2029-05-15,59.65
2029-05-16,59.665
2029-05-17,59.675
2029-05-18,59.69
2029-05-19,59.7
2029-05-20,59.715
2029-05-21,59.715
2029-05-22,59.74
2029-05-23,59.745000000000005
2029-05-24,59.754999999999995
2029-05-25,59.765
2029-05-26,59.78
2029-05-27,59.79
2029-05-28,59.8
2029-05-29,59.81
2029-05-30,59.815
2029-05-31,59.84
2029-06-01,60.995000000000005
2029-06-02,61.015
2029-06-03,61.045
2029-06-04,61.085
2029-06-05,61.115
2029-06-06,61.15
2029-06-07,61.18
2029-06-08,61.215
2029-06-09,61.245
2029-06-10,61.275000000000006
2029-06-11,61.31
2029-06-12,61.335
2029-06-13,61.364999999999995
2029-06-14,61.4
2029-06-15,61.435
2029-06-16,61.465
2029-06-17,61.5
2029-06-18,61.53
2029-06-19,61.565
2029-06-20,61.595
2029-06-21,61.625
2029-06-22,61.655
2029-06-23,61.685
2029-06-24,61.725
2029-06-25,61.75
2029-06-26,61.785
2029-06-27,61.815
2029-06-28,61.845
2029-06-29,61.875
2029-06-30,61.915
2029-07-01,63.04
2029-07-02,63.15
2029-07-03,63.269999999999996
2029-07-04,63.385000000000005
2029-07-05,63.504999999999995
2029-07-06,63.615
2029-07-07,63.735
2029-07-08,63.855000000000004
2029-07-09,63.965
2029-07-10,64.18
2029-07-11,64.53999999999999
2029-07-12,64.91499999999999
2029-07-13,65.28
2029-07-14,65.655
2029-07-15,66.035
2029-07-16,66.43
2029-07-17,66.825
2029-07-18,67.215
