Date,Gibe-III,Koysha
2029-01-01,11750000000.0,0.0
2029-01-02,11748483680.0,1851552.0
2029-01-03,11746967360.0,3699648.0
2029-01-04,11745451040.0,5544288.0
2029-01-05,11743935152.0,7385904.0
2029-01-06,11742419696.0,9225792.0
2029-01-07,11740904240.0,11063088.0
2029-01-08,11739388784.0,12898656.0
2029-01-09,11737873328.0,14732496.0
2029-01-10,11736357008.0,16564608.0
2029-01-11,11734841552.0,18394992.0
2029-01-12,11733326096.0,20223648.0
2029-01-13,11731810640.0,22050576.0
2029-01-14,11730295184.0,23876640.0
2029-01-15,11728779728.0,25700976.0
2029-01-16,11727264704.0,27523584.0
2029-01-17,11725750112.0,29345328.0
2029-01-18,11724235520.0,31165344.0
2029-01-19,11722720928.0,32984064.0
2029-01-20,11721206336.0,34801488.0
2029-01-21,11719691744.0,36617616.0
2029-01-22,11718178016.0,38432448.0
2029-01-23,11716664288.0,40246416.0
2029-01-24,11715150560.0,42058656.0
2029-01-25,11713636832.0,43870032.0
2029-01-26,11712123104.0,45680112.0
2029-01-27,11710609376.0,47488896.0
2029-01-28,11709095648.0,49296816.0
2029-01-29,11707581920.0,51103440.0
2029-01-30,11706068192.0,52908768.0
2029-01-31,11704554464.0,54713232.0
2029-02-01,11703040736.0,56516400.0
2029-02-02,11700966704.0,58116960.0
2029-02-03,11698893104.0,59716656.0
2029-02-04,11696819504.0,61315488.0
2029-02-05,11694745904.0,62913024.0
2029-02-06,11692672736.0,64509696.0
2029-02-07,11690600000.0,66105504.0
2029-02-08,11688527264.0,67700448.0
2029-02-09,11686454528.0,69294096.0
2029-02-10,11684382224.0,70886880.0
2029-02-11,11682310352.0,72478800.0
2029-02-12,11680238048.0,74069856.0
2029-02-13,11678165312.0,75660048.0
2029-02-14,11676093008.0,77249376.0
2029-02-15,11674021136.0,78837840.0
2029-02-16,11671949264.0,80425440.0
2029-02-17,11669877392.0,82012176.0
2029-02-18,11667806384.0,83598048.0
2029-02-19,11665735376.0,85183056.0
2029-02-20,11663664368.0,86767200.0
2029-02-21,11661593360.0,88350480.0
2029-02-22,11659523216.0,89932896.0
2029-02-23,11657453072.0,91514448.0
2029-02-24,11655382928.0,93095136.0
2029-02-25,11653311920.0,94674960.0
2029-02-26,11651241776.0,96253920.0
2029-02-27,11649171632.0,97832016.0
2029-02-28,11647101488.0,99409248.0
2029-03-01,11645031344.0,100986048.0
2029-03-02,11640813728.0,102253536.0
2029-03-03,11636596976.0,103519728.0
2029-03-04,11632381088.0,104784624.0
2029-03-05,11628166064.0,106048224.0
2029-03-06,11623951904.0,107310960.0
2029-03-07,11619737312.0,108572400.0
2029-03-08,11615523584.0,109832544.0
2029-03-09,11611310720.0,111091824.0
2029-03-10,11607098720.0,112349808.0
2029-03-11,11602887584.0,113606496.0
2029-03-12,11598677312.0,114862320.0
2029-03-13,11594467904.0,116116848.0
2029-03-14,11590259360.0,117370512.0
2029-03-15,11586051680.0,118622880.0
2029-03-16,11581844864.0,119874384.0
2029-03-17,11577638912.0,121124592.0
2029-03-18,11573432960.0,122373504.0
2029-03-19,11569227440.0,123621552.0
2029-03-20,11565022784.0,124868304.0
2029-03-21,11560818992.0,126114192.0
2029-03-22,11556616064.0,127358784.0
2029-03-23,11552414000.0,128602512.0
2029-03-24,11548212800.0,129844944.0
2029-03-25,11544012464.0,131086512.0
2029-03-26,11539812992.0,132326784.0
2029-03-27,11535614384.0,133566192.0
2029-03-28,11531416640.0,134804304.0
2029-03-29,11527218896.0,136041552.0
2029-03-30,11523021584.0,137277504.0
2029-03-31,11518825136.0,138512592.0
2029-04-01,11514629552.0,139746816.0
2029-04-02,11509831328.0,141492960.0
2029-04-03,11505034832.0,143236944.0
2029-04-04,11500239632.0,144978336.0
2029-04-05,11495444864.0,146717136.0
2029-04-06,11490651824.0,148453776.0
2029-04-07,11485860512.0,150188256.0
2029-04-08,11481070928.0,151920144.0
2029-04-09,11476282640.0,153649440.0
2029-04-10,11471495648.0,155376576.0
2029-04-11,11466709520.0,157101552.0
2029-04-12,11461925120.0,158823936.0
2029-04-13,11457142448.0,160544160.0
2029-04-14,11452360640.0,162262224.0
2029-04-15,11447580560.0,163977696.0
2029-04-16,11442801776.0,165691008.0
2029-04-17,11438024288.0,167402160.0
2029-04-18,11433248528.0,169111152.0
2029-04-19,11428473632.0,170817984.0
2029-04-20,11423700464.0,172522224.0
2029-04-21,11418929024.0,174224304.0
2029-04-22,11414158880.0,175924224.0
2029-04-23,11409389600.0,177621984.0
2029-04-24,11404621616.0,179317584.0
2029-04-25,11399855360.0,181011024.0
2029-04-26,11395090832.0,182702304.0
2029-04-27,11390328032.0,184391424.0
2029-04-28,11385565232.0,186078384.0
2029-04-29,11380804160.0,187763184.0
2029-04-30,11376044816.0,189445824.0
2029-05-01,11371287200.0,191126304.0
2029-05-02,11368440320.0,193781376.0
2029-05-03,11365594304.0,196432992.0
2029-05-04,11362748720.0,199081152.0
2029-05-05,11359904000.0,201725856.0
2029-05-06,11357059712.0,204366240.0
2029-05-07,11354216288.0,207003168.0
2029-05-08,11351373728.0,209636640.0
2029-05-09,11348532032.0,212266656.0
2029-05-10,11345690768.0,214893216.0
2029-05-11,11342850368.0,217516320.0
2029-05-12,11340009968.0,220135968.0
2029-05-13,11337170864.0,222752160.0
2029-05-14,11334332624.0,225364032.0
2029-05-15,11331494816.0,227972448.0
2029-05-16,11328657872.0,230577408.0
2029-05-17,11325821360.0,233179776.0
2029-05-18,11322985712.0,235778688.0
2029-05-19,11320150928.0,238374144.0
2029-05-20,11317317008.0,240966144.0
2029-05-21,11314483520.0,243554688.0
2029-05-22,11311650896.0,246139776.0
2029-05-23,11308818272.0,248721408.0
2029-05-24,11305986944.0,251299584.0
2029-05-25,11303156048.0,253874304.0
2029-05-26,11300326016.0,256446432.0
2029-05-27,11297496848.0,259015104.0
2029-05-28,11294668112.0,261580320.0
2029-05-29,11291840240.0,264142080.0
2029-05-30,11289013232.0,266700816.0
2029-05-31,11286186224.0,269256528.0
2029-06-01,11283360512.0,271808784.0
2029-06-02,11290284176.0,278012736.0
2029-06-03,11297204816.0,284210208.0
2029-06-04,11304122000.0,290400768.0
2029-06-05,11311036160.0,296584848.0
2029-06-06,11317947296.0,302762448.0
2029-06-07,11324854976.0,308933568.0
2029-06-08,11331759632.0,315098208.0
2029-06-09,11338660832.0,321256800.0
2029-06-10,11345559008.0,327408912.0
2029-06-11,11352453728.0,333554976.0
2029-06-12,11359345424.0,339694560.0
2029-06-13,11366234096.0,345828096.0
2029-06-14,11373119312.0,351955584.0
2029-06-15,11380001936.0,358077024.0
2029-06-16,11386880672.0,364192416.0
2029-06-17,11393756384.0,370301760.0
2029-06-18,11400628640.0,376405056.0
2029-06-19,11407498304.0,382502736.0
2029-06-20,11414364512.0,388594368.0
2029-06-21,11421227264.0,394679952.0
2029-06-22,11428086992.0,400759920.0
2029-06-23,11434943264.0,406834272.0
2029-06-24,11441796944.0,412902576.0
2029-06-25,11448646736.0,418965264.0
2029-06-26,11455493936.0,425022336.0
2029-06-27,11462337248.0,431073360.0
2029-06-28,11469177536.0,437119200.0
2029-06-29,11476014800.0,443158992.0
2029-06-30,11482849040.0,449193600.0
2029-07-01,11489679824.0,455222160.0
2029-07-02,11531030000.0,474827184.0
2029-07-03,11572365056.0,494417520.0
2029-07-04,11613684992.0,513993168.0
2029-07-05,11654989376.0,533554992.0
2029-07-06,11696278640.0,553102128.0
2029-07-07,11737552784.0,572635440.0
2029-07-08,11749954208.0,621009504.0
2029-07-09,11749941680.0,681744384.0
2029-07-10,11749956800.0,742395024.0
2029-07-11,11749955504.0,803006352.0
2029-07-12,11749980560.0,863535600.0
2029-07-13,11749945136.0,924070464.0
2029-07-14,11749934768.0,984524976.0
2029-07-15,11749949024.0,1044900864.0
2029-07-16,11749987040.0,1105197696.0
2029-07-17,11749961984.0,1165503168.0
2029-07-18,11749960256.0,1225731312.0
2029-07-19,11749936928.0,1285926192.0
2029-07-20,11749978832.0,1346001408.0
2029-07-21,11749955072.0,1406087856.0
2029-07-22,11749951616.0,1466098704.0
2029-07-23,11749924832.0,1526078448.0
2029-07-24,11749960256.0,1585940688.0
2029-07-25,11749970624.0,1645772256.0
2029-07-26,11749955504.0,1705573584.0
2029-07-27,11749957664.0,1765301472.0
2029-07-28,11749976672.0,1824956784.0
2029-07-29,11749968032.0,1884582720.0
2029-07-30,11749974944.0,1944136944.0
2029-07-31,11749953776.0,2003662656.0
2029-08-01,11749946432.0,2063117088.0
2029-08-02,11749950752.0,2165524416.0
2029-08-03,11749978832.0,2267794800.0
2029-08-04,11749942544.0,2370015072.0
2029-08-05,11749968896.0,2472056928.0
2029-08-06,11749969760.0,2574007200.0
2029-08-07,11749987472.0,2675823552.0
2029-08-08,11749976240.0,2777549616.0
2029-08-09,11749935200.0,2879186688.0
2029-08-10,11749949456.0,2980647936.0
2029-08-11,11749931312.0,3082021056.0
2029-08-12,11749966736.0,3183220080.0
2029-08-13,11749968032.0,3284331840.0
2029-08-14,11749977968.0,3385313136.0
2029-08-15,11749953344.0,3486208032.0
2029-08-16,11749980560.0,3586930992.0
2029-08-17,11749973648.0,3687568416.0
2029-08-18,11749933040.0,3788120736.0
2029-08-19,11749945136.0,3888501984.0
2029-08-20,11749968896.0,3988755792.0
2029-08-21,11749961552.0,4088925792.0
2029-08-22,11749968032.0,4188968784.0
2029-08-23,11749990064.0,4288885632.0
2029-08-24,11749943840.0,4388762736.0
2029-08-25,11749960256.0,4488471360.0
2029-08-26,11749956368.0,4588097904.0
2029-08-27,11749977968.0,4687599168.0
2029-08-28,11749941680.0,4787061984.0
2029-08-29,11749980560.0,4886357184.0
2029-08-30,11749968464.0,4985614800.0
2029-08-31,11749952048.0,5084791632.0
2029-09-01,11749978832.0,5183844912.0
2029-09-02,11749938224.0,5240639520.0
2029-09-03,11749960256.0,5297327856.0
2029-09-04,11749960256.0,5353996752.0
2029-09-05,11749939952.0,5410646208.0
2029-09-06,11749944272.0,5467233024.0
2029-09-07,11749974512.0,5523757200.0
2029-09-08,11749989632.0,5580262368.0
2029-09-09,11749948160.0,5636791728.0
2029-09-10,11749938224.0,5693258880.0
2029-09-11,11749961552.0,5749663824.0
2029-09-12,11749933904.0,5806092960.0
2029-09-13,11749942976.0,5862459888.0
2029-09-14,11749947296.0,5918807808.0
2029-09-15,11749949456.0,5975136720.0
2029-09-16,11749951184.0,5999955120.0
2029-09-17,11749952912.0,5999972400.0
2029-09-18,11749954640.0,5999946480.0
2029-09-19,11749956368.0,5999963760.0
2029-09-20,11749958096.0,5999981040.0
2029-09-21,11749959824.0,5999955120.0
2029-09-22,11749961552.0,5999972400.0
2029-09-23,11749963280.0,5999946480.0
2029-09-24,11749921808.0,5999963760.0
2029-09-25,11749923536.0,5999981040.0
