Date,Gibe-III,Koysha
2029-01-01,208.07573,0.0
2029-01-02,208.06719,6.97615
2029-01-03,208.05865,13.93929
2029-01-04,208.05011,20.8894
2029-01-05,208.04157,23.51443
2029-01-06,208.03303,24.71991
2029-01-07,208.02449,25.9237
2029-01-08,208.01595,26.98414
2029-01-09,208.0074,27.89545
2029-01-10,207.99886,28.80591
2029-01-11,207.99032,29.68054
2029-01-12,207.98178,30.42743
2029-01-13,207.97324,31.17361
2029-01-14,207.96469,31.91943
2029-01-15,207.95614,32.5665
2029-01-16,207.9476,33.20585
2029-01-17,207.93905,33.8449
2029-01-18,207.93051,34.43556
2029-01-19,207.92197,34.99897
2029-01-20,207.91342,35.56198
2029-01-21,207.90488,36.1055
2029-01-22,207.89634,36.61161
2029-01-23,207.8878,37.11749
2029-01-24,207.87925,37.62146
2029-01-25,207.87071,38.08265
2029-01-26,207.86217,38.54351
2029-01-27,207.85362,39.00405
2029-01-28,207.84508,39.43888
2029-01-29,207.83653,39.86337
2029-01-30,207.82799,40.28755
2029-01-31,207.81944,40.69991
2029-02-01,207.81089,41.09422
2029-02-02,207.79917,41.44422
2029-02-03,207.78746,41.79404
2029-02-04,207.77574,42.12556
2029-02-05,207.76403,42.45292
2029-02-06,207.75232,42.78011
2029-02-07,207.74061,43.10587
2029-02-08,207.72889,43.41387
2029-02-09,207.71717,43.72163
2029-02-10,207.70545,44.02921
2029-02-11,207.69374,44.33172
2029-02-12,207.68202,44.62266
2029-02-13,207.6703,44.91343
2029-02-14,207.65859,45.20405
2029-02-15,207.64686,45.48696
2029-02-16,207.63514,45.76296
2029-02-17,207.62341,46.03881
2029-02-18,207.61169,46.31451
2029-02-19,207.59998,46.58061
2029-02-20,207.58826,46.84335
2029-02-21,207.57653,47.10595
2029-02-22,207.56481,47.36841
2029-02-23,207.55309,47.61991
2029-02-24,207.54136,47.87079
2029-02-25,207.52963,48.12154
2029-02-26,207.51791,48.37051
2029-02-27,207.50619,48.61084
2029-02-28,207.49446,48.85104
2029-03-01,207.48272,49.09117
2029-03-02,207.45882,49.28273
2029-03-03,207.43492,49.46819
2029-03-04,207.41101,49.65345
2029-03-05,207.3871,49.83853
2029-03-06,207.3632,50.02349
2029-03-07,207.33929,50.20522
2029-03-08,207.31537,50.38311
2029-03-09,207.29145,50.56088
2029-03-10,207.26754,50.73847
2029-03-11,207.24361,50.91588
2029-03-12,207.21969,51.08897
2029-03-13,207.19577,51.25999
2029-03-14,207.17185,51.43088
2029-03-15,207.14792,51.6016
2029-03-16,207.124,51.77221
2029-03-17,207.10008,51.93761
2029-03-18,207.07614,52.10229
2029-03-19,207.05221,52.26686
2029-03-20,207.02828,52.43125
2029-03-21,207.00434,52.59506
2029-03-22,206.9804,52.75404
2029-03-23,206.95646,52.91292
2029-03-24,206.93252,53.07163
2029-03-25,206.90858,53.23023
2029-03-26,206.88464,53.38741
2029-03-27,206.8607,53.54101
2029-03-28,206.83675,53.69444
2029-03-29,206.8128,53.84777
2029-03-30,206.78885,54.00094
2029-03-31,206.7649,54.15218
2029-04-01,206.74094,54.30076
2029-04-02,206.71354,54.51097
2029-04-03,206.68614,54.72091
2029-04-04,206.65873,54.92732
2029-04-05,206.63133,55.13089
2029-04-06,206.60392,55.33421
2029-04-07,206.57652,55.5367
2029-04-08,206.54912,55.73412
2029-04-09,206.52172,55.93124
2029-04-10,206.49431,56.12811
2029-04-11,206.46692,56.32155
2029-04-12,206.43951,56.5129
2029-04-13,206.41211,56.704
2029-04-14,206.38471,56.89415
2029-04-15,206.35731,57.08006
2029-04-16,206.3299,57.26574
2029-04-17,206.30251,57.45118
2029-04-18,206.2751,57.63354
2029-04-19,206.2477,57.81414
2029-04-20,206.22031,57.99446
2029-04-21,206.1929,58.17402
2029-04-22,206.1655,58.34978
2029-04-23,206.13811,58.52531
2029-04-24,206.1107,58.70063
2029-04-25,206.0833,58.8734
2029-04-26,206.05591,59.0444
2029-04-27,206.02851,59.21518
2029-04-28,206.00111,59.38558
2029-04-29,205.97371,59.55227
2029-04-30,205.94631,59.71876
2029-05-01,205.91891,59.88503
2029-05-02,205.90252,60.14406
2029-05-03,205.88612,60.40097
2029-05-04,205.86972,60.65543
2029-05-05,205.85333,60.90651
2029-05-06,205.83694,61.15649
2029-05-07,205.82055,61.40193
2029-05-08,205.80416,61.64705
2029-05-09,205.78777,61.88783
2029-05-10,205.77138,62.12765
2029-05-11,205.755,62.36459
2029-05-12,205.73861,62.59936
2029-05-13,205.72223,62.8326
2029-05-14,205.70584,63.06245
2029-05-15,205.68946,63.29199
2029-05-16,205.67308,63.51725
2029-05-17,205.65671,63.74225
2029-05-18,205.64033,63.96431
2029-05-19,205.62395,64.18486
2029-05-20,205.60758,64.40375
2029-05-21,205.59121,64.62005
2029-05-22,205.57484,64.83586
