Date,Canals to Kuraz Sugar Plantations
2029-01-01,50.57
2029-01-02,50.57
2029-01-03,50.59
2029-01-04,50.59
2029-01-05,50.585
2029-01-06,50.58
2029-01-07,50.58
2029-01-08,50.58
2029-01-09,50.58
2029-01-10,50.58
2029-01-11,50.58
2029-01-12,50.58
2029-01-13,50.58
2029-01-14,50.58
2029-01-15,50.58
2029-01-16,50.58
2029-01-17,50.58
2029-01-18,50.6
2029-01-19,50.6
2029-01-20,50.6
2029-01-21,50.595
2029-01-22,50.59
2029-01-23,50.59
2029-01-24,50.59
2029-01-25,50.59
2029-01-26,50.59
2029-01-27,50.59
2029-01-28,50.59
2029-01-29,50.59
2029-01-30,50.59
2029-01-31,50.59
2029-02-01,50.79
2029-02-02,50.79
2029-02-03,50.79
2029-02-04,50.79
2029-02-05,50.785
2029-02-06,50.78
2029-02-07,50.78
2029-02-08,50.79
2029-02-09,50.8
2029-02-10,50.8
2029-02-11,50.8
2029-02-12,50.8
2029-02-13,50.8
2029-02-14,50.8
2029-02-15,50.8
2029-02-16,50.8
2029-02-17,50.8
2029-02-18,50.795
2029-02-19,50.79
2029-02-20,50.79
2029-02-21,50.81
2029-02-22,50.81
2029-02-23,50.81
2029-02-24,50.81
2029-02-25,50.81
2029-02-26,50.81
2029-02-27,50.81
2029-02-28,50.81
2029-03-01,51.06
2029-03-02,51.06
2029-03-03,51.06
2029-03-04,51.06
2029-03-05,51.065
2029-03-06,51.07
2029-03-07,51.07
2029-03-08,51.07
2029-03-09,51.07
2029-03-10,51.07
2029-03-11,51.07
2029-03-12,51.07
2029-03-13,51.07
2029-03-14,51.07
2029-03-15,51.07
2029-03-16,51.07
2029-03-17,51.075
2029-03-18,51.08
2029-03-19,51.08
2029-03-20,51.08
2029-03-21,51.08
2029-03-22,51.08
2029-03-23,51.08
2029-03-24,51.08
2029-03-25,51.08
2029-03-26,51.08
2029-03-27,51.08
2029-03-28,51.08
2029-03-29,51.085
2029-03-30,51.09
2029-03-31,51.09
2029-04-01,51.44
2029-04-02,51.44
2029-04-03,51.44
2029-04-04,51.445
2029-04-05,51.45
2029-04-06,51.45
2029-04-07,51.45
2029-04-08,51.45
2029-04-09,51.45
2029-04-10,51.45
2029-04-11,51.46
2029-04-12,51.46
2029-04-13,51.46
2029-04-14,51.46
2029-04-15,51.46
2029-04-16,51.46
2029-04-17,51.465
2029-04-18,51.47
2029-04-19,51.47
2029-04-20,51.47
2029-04-21,51.47
2029-04-22,51.47
2029-04-23,51.47
2029-04-24,51.48
2029-04-25,51.48
2029-04-26,51.48
2029-04-27,51.48
2029-04-28,51.48
2029-04-29,51.48
2029-04-30,51.485
2029-05-01,51.945
2029-05-02,51.95
2029-05-03,51.95
2029-05-04,51.955
2029-05-05,51.96
2029-05-06,51.96
2029-05-07,51.965
2029-05-08,51.97
2029-05-09,51.97
2029-05-10,51.974999999999994
2029-05-11,51.98
2029-05-12,51.98
2029-05-13,51.985
2029-05-14,51.99
2029-05-15,51.99
2029-05-16,51.99
2029-05-17,52.0
2029-05-18,52.0
2029-05-19,52.0
2029-05-20,52.01
2029-05-21,52.01
2029-05-22,52.01
2029-05-23,52.02
2029-05-24,52.02
2029-05-25,52.02
2029-05-26,52.03
2029-05-27,52.03
2029-05-28,52.03
2029-05-29,52.04
2029-05-30,52.04
2029-05-31,52.04
2029-06-01,52.614999999999995
2029-06-02,52.625
2029-06-03,52.64
2029-06-04,52.65
2029-06-05,52.66
2029-06-06,52.67
2029-06-07,52.68
2029-06-08,52.69
2029-06-09,52.7
2029-06-10,52.705
2029-06-11,52.715
2029-06-12,52.735
2029-06-13,52.745000000000005
2029-06-14,52.765
2029-06-15,52.775000000000006
2029-06-16,52.785
2029-06-17,52.79
2029-06-18,52.8
2029-06-19,52.81
2029-06-20,52.82
2029-06-21,52.83
2029-06-22,52.845
