Date,Gibe-III,Koysha
2029-01-01,208.07573,0.0
2029-01-02,208.06522,6.97615
2029-01-03,208.0547,13.93929
2029-01-04,208.04418,20.8894
2029-01-05,208.03366,23.51443
2029-01-06,208.02313,24.71991
2029-01-07,208.01261,25.9237
2029-01-08,208.00208,26.98414
2029-01-09,207.99155,27.89545
2029-01-10,207.98102,28.80591
2029-01-11,207.97049,29.68054
2029-01-12,207.95995,30.42743
2029-01-13,207.94941,31.17361
2029-01-14,207.93888,31.91943
2029-01-15,207.92834,32.5665
2029-01-16,207.9178,33.20585
2029-01-17,207.90725,33.8449
2029-01-18,207.89671,34.43556
2029-01-19,207.88616,34.99897
2029-01-20,207.87561,35.56198
2029-01-21,207.86506,36.1055
2029-01-22,207.8545,36.61161
2029-01-23,207.84395,37.11749
2029-01-24,207.83339,37.62146
2029-01-25,207.82283,38.08265
2029-01-26,207.81227,38.54351
2029-01-27,207.80171,39.00405
2029-01-28,207.79114,39.43888
2029-01-29,207.78057,39.86337
2029-01-30,207.77,40.28755
2029-01-31,207.75943,40.69991
2029-02-01,207.74886,41.09422
2029-02-02,207.73472,41.44422
2029-02-03,207.72057,41.79404
2029-02-04,207.70641,42.12556
2029-02-05,207.69226,42.45292
2029-02-06,207.6781,42.78011
2029-02-07,207.66395,43.10587
2029-02-08,207.64978,43.41387
2029-02-09,207.63561,43.72163
2029-02-10,207.62145,44.02921
2029-02-11,207.60728,44.33172
2029-02-12,207.59311,44.62266
2029-02-13,207.57893,44.91343
2029-02-14,207.56475,45.20405
2029-02-15,207.55057,45.48696
2029-02-16,207.53638,45.76296
2029-02-17,207.5222,46.03881
2029-02-18,207.50802,46.31451
2029-02-19,207.49383,46.58061
2029-02-20,207.47963,46.84335
2029-02-21,207.46543,47.10595
2029-02-22,207.45123,47.36841
2029-02-23,207.43703,47.61991
2029-02-24,207.42283,47.87079
2029-02-25,207.40862,48.12154
2029-02-26,207.39441,48.37051
2029-02-27,207.3802,48.61084
2029-02-28,207.36598,48.85104
2029-03-01,207.35177,49.09117
2029-03-02,207.32495,49.28273
2029-03-03,207.29813,49.46819
2029-03-04,207.27131,49.65345
2029-03-05,207.24448,49.83853
2029-03-06,207.21765,50.02349
2029-03-07,207.19081,50.20522
2029-03-08,207.16397,50.38311
2029-03-09,207.13712,50.56088
